Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Gastos;Horas_fuera_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Calificacion;Repetiria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Año
1;54;Suiza;No;No;Si;No;No;7;3;950;1289;712;2;8;6;3;10;4;1;4;4;Q2;2022
6;31;España;No;No;No;Si;No;5;6;325;1600;400;15;3;1;3;10;4;2;2;2;Q1;2022
6;69;Suiza;No;Si;No;No;No;14;4;869;1180;1190;5;11;8;3;8;3;4;3;7;Q2;2022
1;48;España;No;No;Si;No;No;5;4;450;1050;800;10;4;1;3;9;4;1;3;4;Q1;2022
6;65;Suiza;No;Si;No;No;No;7;2;628;852;512;5;4;4;3;10;3;4;1;2;Q2;2022
6;29;España;No;No;Si;No;No;7;2;865;1735;1560;8;2;1;4;9;4;1;1;4;Q3;2022
1;71;Reino Unido;No;Si;No;No;No;6;1;400;3000;200;4;10;4;3;6;4;2;3;2;Q1;2022
1;20;España;No;No;No;Si;No;5;4;1820;429;100;15;4;2;4;10;4;6;2;4;Q3;2022
6;32;Paises Bajos;No;Si;No;No;No;7;4;550;3.500;3680;14;1;1;4;10;4;1;3;2;Q2;2022
1;52;Suiza;No;No;Si;No;No;9;2;1168;1460;1170;3;6;6;4;10;4;1;3;2;Q1;2022
1;69;España;No;Si;No;No;No;14;4;555;1.045;747;10;17;10;3;9;4;7;3;2;Q1;2022
1;33;Suecia;No;No;No;Si;No;11;6;536;244;595;8;2;2;3;8;4;1;3;1;Q2;2022
6;32;España;No;Si;No;No;No;6;2;451;849;1210;2;3;1;4;10;4;4;2;2;Q1;2022
1;49;Suecia;Si;No;No;No;No;1;3;310;50;106;0;2;2;4;9;4;1;1;2;Q2;2022
1;76;España;No;No;No;Si;No;18;3;435;818;1327;10;15;15;3;10;3;7;2;1;Q1;2022
6;49;Dinamarca;No;No;Si;No;No;7;3;383;521;712;2;2;2;3;7;4;1;3;2;Q2;2022
6;60;Dinamarca;No;Si;No;No;No;7;2;898;1.220;1118;1;10;9;3;9;4;1;1;2;Q2;2022
1;31;España;No;Si;No;No;No;7;1;553;1109;338;8;3;1;5;10;4;1;4;4;Q3;2022
1;43;Dinamarca;No;No;Si;No;No;7;3;698;948;1523;8;5;2;3;8;4;2;4;2;Q2;2022
1;50;España;No;No;No;Si;No;7;2;686;1.376;138;1;1;0;4;10;4;6;1;2;Q3;2022
1;49;España;No;No;Si;No;No;9;2;1517;2.856;1127;4;6;2;3;8;3;2;2;3;Q1;2022
6;60;Dinamarca;No;Si;No;No;No;7;3;1127;1.530;842;3;5;3;4;10;4;1;4;2;Q2;2022
1;63;España;No;Si;No;No;No;12;3;1343;2529;1127;5;25;12;3;10;3;8;3;2;Q1;2022
6;61;Italia;No;No;Si;No;No;7;1;5159;9.713;2227;5;12;3;4;10;4;4;2;3;Q1;2022
6;61;Dinamarca;No;No;No;Si;No;7;4;600;815;1109;14;5;5;3;10;4;7;4;2;Q2;2022
6;53;Dinamarca;No;No;No;Si;No;7;4;286;389;1590;6;5;3;3;9;4;1;2;3;Q2;2022
1;43;Otros;No;No;No;Si;No;2;2;129;86;635;10;2;1;5;10;4;1;1;1;Q3;2022
6;72;Dinamarca;No;No;No;Si;No;8;3;526;715;1186;3;6;1;4;9;4;1;2;3;Q2;2022
6;44;España;No;Si;No;No;No;7;2;520;506;400;12;2;0;5;10;4;1;2;2;Q3;2022
6;34;España;No;Si;No;No;No;4;1;1066;2.007;327;2;5;1;3;10;4;1;3;2;Q1;2022
6;22;España;No;Si;No;No;No;8;2;499;1.001;1500;10;2;1;5;10;4;1;2;2;Q3;2022
1;66;España;No;Si;No;No;No;4;1;997;1.876;187;14;15;8;3;10;4;4;4;2;Q1;2022
